iter	Passed	Remaining
0	5	3034
1	9	2854
2	14	2981
3	19	2878
4	25	3014
5	30	3015
6	35	3036
7	39	2957
8	44	2950
9	49	2946
10	54	2901
11	58	2864
12	63	2847
13	67	2845
14	72	2819
15	76	2800
16	81	2804
17	86	2782
18	90	2758
19	95	2763
20	99	2746
21	103	2729
22	108	2716
23	113	2720
24	117	2705
25	122	2693
26	126	2684
27	132	2699
28	137	2712
29	142	2701
30	147	2702
31	152	2698
32	159	2734
33	165	2762
34	170	2749
35	177	2773
36	182	2778
37	187	2766
38	191	2760
39	197	2760
40	201	2749
41	205	2736
42	210	2730
43	215	2719
44	219	2708
45	225	2710
46	230	2708
47	234	2697
48	239	2687
49	243	2682
50	248	2678
51	253	2671
52	258	2665
53	263	2665
54	267	2654
55	272	2644
56	276	2634
57	281	2629
58	285	2621
59	290	2611
60	295	2609
61	299	2599
62	304	2591
63	309	2589
64	314	2588
65	318	2580
66	323	2572
67	328	2568
68	332	2559
69	336	2549
70	341	2541
71	345	2532
72	349	2523
73	353	2515
74	359	2513
75	363	2508
76	368	2504
77	373	2497
78	377	2491
79	382	2485
80	387	2481
81	392	2477
82	396	2470
83	400	2462
84	405	2456
85	410	2451
86	415	2449
87	419	2442
88	424	2436
89	428	2428
90	433	2425
91	438	2422
92	444	2421
93	449	2418
94	454	2415
95	459	2410
96	464	2411
97	469	2404
98	474	2403
99	479	2396
100	484	2395
101	490	2394
102	495	2391
103	500	2385
104	505	2383
105	510	2379
106	515	2376
107	520	2370
108	525	2368
109	530	2362
110	534	2356
111	540	2354
112	546	2353
113	550	2348
114	555	2344
115	562	2344
116	566	2339
117	571	2336
118	578	2338
119	583	2332
120	587	2327
121	593	2324
122	597	2317
123	602	2313
124	608	2312
125	613	2307
126	618	2303
127	624	2304
128	630	2303
129	635	2297
130	640	2293
131	644	2286
132	649	2280
133	654	2274
134	658	2268
135	663	2263
136	668	2257
137	673	2254
138	677	2248
139	682	2243
140	687	2239
141	692	2233
142	696	2226
143	700	2219
144	705	2213
145	709	2207
146	714	2201
147	719	2197
148	724	2193
149	729	2187
150	733	2181
151	738	2175
152	742	2168
153	746	2162
154	751	2157
155	755	2151
156	760	2145
157	764	2139
158	769	2134
159	774	2129
160	778	2122
161	782	2116
162	788	2113
163	793	2108
164	797	2102
165	801	2096
166	807	2093
167	812	2088
168	816	2083
169	821	2077
170	825	2071
171	829	2064
172	834	2060
173	839	2054
174	843	2048
175	848	2043
176	853	2040
177	858	2036
178	865	2036
179	873	2038
180	880	2038
181	885	2034
182	890	2029
183	895	2024
184	900	2020
185	907	2020
186	913	2018
187	920	2018
188	926	2015
189	932	2013
190	939	2012
191	944	2007
192	949	2002
193	954	1997
194	959	1992
195	964	1987
196	969	1982
197	974	1978
198	979	1973
199	984	1969
200	989	1965
201	994	1959
202	999	1954
203	1004	1949
204	1009	1944
205	1013	1939
206	1018	1934
207	1024	1930
208	1028	1924
209	1034	1921
210	1040	1917
211	1045	1912
212	1050	1907
213	1054	1902
214	1059	1897
215	1065	1893
216	1070	1888
217	1074	1883
218	1079	1878
219	1085	1874
220	1090	1870
221	1095	1865
222	1101	1862
223	1105	1856
224	1110	1850
225	1115	1846
226	1120	1841
227	1125	1836
228	1130	1832
229	1137	1829
230	1145	1829
231	1151	1825
232	1155	1820
233	1160	1814
234	1166	1811
235	1171	1806
236	1176	1801
237	1180	1796
238	1186	1792
239	1191	1786
240	1197	1783
241	1202	1779
242	1207	1773
243	1212	1769
244	1217	1764
245	1222	1759
246	1227	1754
247	1232	1749
248	1237	1745
249	1242	1739
250	1248	1735
251	1253	1730
252	1258	1725
253	1263	1720
254	1269	1717
255	1274	1713
256	1279	1707
257	1284	1702
258	1289	1697
259	1294	1692
260	1299	1687
261	1304	1682
262	1308	1676
263	1313	1671
264	1318	1667
265	1323	1661
266	1328	1657
267	1334	1653
268	1340	1649
269	1345	1644
270	1350	1640
271	1356	1635
272	1360	1630
273	1366	1625
274	1373	1623
275	1378	1618
276	1383	1613
277	1388	1608
278	1394	1604
279	1400	1600
280	1404	1594
281	1409	1589
282	1416	1586
283	1421	1581
284	1426	1576
285	1430	1570
286	1436	1566
287	1441	1561
288	1445	1555
289	1451	1551
290	1455	1545
291	1460	1540
292	1466	1536
293	1471	1531
294	1476	1526
295	1481	1521
296	1486	1516
297	1491	1511
298	1496	1506
299	1501	1501
300	1505	1495
301	1510	1490
302	1515	1485
303	1520	1480
304	1525	1475
305	1529	1469
306	1535	1465
307	1540	1460
308	1545	1455
309	1550	1450
310	1555	1445
311	1560	1440
312	1565	1435
313	1569	1429
314	1574	1424
315	1579	1419
316	1584	1414
317	1589	1409
318	1594	1404
319	1599	1399
320	1604	1394
321	1609	1389
322	1614	1384
323	1619	1379
324	1624	1374
325	1629	1369
326	1634	1364
327	1638	1359
328	1644	1354
329	1650	1350
330	1655	1345
331	1659	1339
332	1665	1335
333	1670	1330
334	1675	1325
335	1680	1320
336	1684	1314
337	1689	1309
338	1694	1304
339	1699	1299
340	1704	1294
341	1708	1289
342	1713	1284
343	1718	1278
344	1723	1274
345	1729	1269
346	1734	1264
347	1739	1259
348	1744	1254
349	1748	1249
350	1753	1243
351	1758	1238
352	1763	1234
353	1768	1228
354	1774	1224
355	1779	1219
356	1784	1214
357	1789	1209
358	1795	1205
359	1800	1200
360	1804	1194
361	1809	1189
362	1814	1184
363	1819	1179
364	1824	1174
365	1829	1169
366	1834	1164
367	1839	1159
368	1844	1154
369	1849	1149
370	1854	1144
371	1859	1139
372	1864	1134
373	1869	1129
374	1874	1124
375	1879	1119
376	1884	1114
377	1889	1109
378	1894	1104
379	1900	1100
380	1905	1095
381	1912	1091
382	1918	1086
383	1924	1082
384	1932	1078
385	1936	1073
386	1941	1068
387	1947	1063
388	1952	1058
389	1957	1053
390	1962	1049
391	1969	1044
392	1974	1039
393	1979	1034
394	1984	1029
395	1988	1024
396	1994	1019
397	1999	1014
398	2005	1010
399	2010	1005
400	2016	1000
401	2020	995
402	2026	990
403	2031	985
404	2036	980
405	2042	975
406	2047	971
407	2052	965
408	2057	960
409	2063	956
410	2069	951
411	2075	947
412	2079	941
413	2084	936
414	2089	931
415	2095	927
416	2100	921
417	2105	916
418	2110	911
419	2115	906
420	2120	901
421	2126	897
422	2131	892
423	2137	887
424	2142	882
425	2147	876
426	2151	871
427	2156	866
428	2161	861
429	2166	856
430	2170	851
431	2175	846
432	2180	840
433	2185	835
434	2190	830
435	2195	825
436	2200	820
437	2206	816
438	2211	811
439	2216	806
440	2221	801
441	2226	796
442	2232	791
443	2236	785
444	2243	781
445	2248	776
446	2253	771
447	2259	766
448	2265	761
449	2271	757
450	2277	752
451	2282	747
452	2287	742
453	2292	737
454	2296	731
455	2301	726
456	2307	721
457	2311	716
458	2316	711
459	2321	706
460	2327	701
461	2332	696
462	2338	691
463	2343	686
464	2348	681
465	2353	676
466	2359	671
467	2365	667
468	2371	662
469	2376	657
470	2381	652
471	2388	647
472	2393	642
473	2398	637
474	2402	632
475	2408	627
476	2413	622
477	2418	617
478	2424	612
479	2429	607
480	2433	602
481	2439	597
482	2444	592
483	2449	587
484	2454	582
485	2459	576
486	2464	571
487	2469	566
488	2474	561
489	2479	556
490	2484	551
491	2489	546
492	2494	541
493	2498	536
494	2505	531
495	2510	526
496	2515	521
497	2520	516
498	2526	511
499	2531	506
500	2536	501
501	2540	496
502	2545	490
503	2551	486
504	2556	480
505	2561	475
506	2566	470
507	2572	465
508	2577	460
509	2582	455
510	2587	450
511	2592	445
512	2597	440
513	2601	435
514	2607	430
515	2611	425
516	2617	420
517	2622	415
518	2627	410
519	2633	405
520	2639	400
521	2643	395
522	2648	389
523	2653	384
524	2658	379
525	2662	374
526	2667	369
527	2672	364
528	2678	359
529	2683	354
530	2688	349
531	2693	344
532	2698	339
533	2704	334
534	2708	329
535	2713	324
536	2718	318
537	2723	313
538	2729	308
539	2734	303
540	2740	298
541	2745	293
542	2750	288
543	2755	283
544	2760	278
545	2766	273
546	2771	268
547	2775	263
548	2781	258
549	2787	253
550	2791	248
551	2796	243
552	2801	238
553	2807	233
554	2811	227
555	2816	222
556	2822	217
557	2826	212
558	2831	207
559	2837	202
560	2842	197
561	2847	192
562	2852	187
563	2857	182
564	2861	177
565	2867	172
566	2871	167
567	2876	162
568	2881	156
569	2885	151
570	2890	146
571	2895	141
572	2901	136
573	2906	131
574	2911	126
575	2916	121
576	2921	116
577	2925	111
578	2930	106
579	2935	101
580	2940	96
581	2945	91
582	2951	86
583	2955	80
584	2960	75
