,0
00,0.0005589724642208458
000,0.0007225714960769267
01,0.0
02,0.0
03,0.0
04,0.00016308320730334684
05,0.0
06,0.0
10,0.00012142411549772744
100,0.0
11,0.0
12,9.495094277702968e-05
120,9.498910675381263e-05
13,0.0
15,0.0
17,0.0
18,0.0004779476650395649
19,0.0010209022908722345
19covid,0.0
20,0.0003327944001586251
200,0.0
2000,0.0
2005,0.0
2006,0.0
2015,0.0
2019,0.0
2020,0.000299125252586639
2021,0.0
2022,0.0
21,0.0
23,0.0001430848570089077
250,0.0
26,0.00014451851273706608
30,0.0010057164919560632
31,0.0
35,0.0
365,0.0
37,0.0002850667233204517
3rd,0.0
40,0.0
400,0.0
47,0.0
50,0.0
500,0.0
55,0.0
60,0.0002573473088542467
600,0.00016035960595131468
65,0.0
70,0.00023206900260645743
75,0.0
7710,0.0
80,0.0
90,0.0001320927761490374
abilities,0.0007290586711900897
able,0.0006758613990679884
aboriginal,0.0
aboriginals,0.0001527596203035305
abreast,0.0
abstract,0.0
academic,0.0
accelerate,0.0
accept,0.0
acceptance,0.0
accepted,0.0
access,0.0005242709127991928
accessibility,0.0
accessible,0.0004196105462598081
accessing,0.000529698379888843
accommodate,0.00028075334600026226
accommodating,0.0
accommodation,0.0002222639523682212
accommodations,0.00021744293848172743
accordance,5.3765713963583056e-05
according,0.0002602181663453922
accordingly,0.0
account,0.00021488653290107775
accountabilities,0.0002302257367002563
accountability,0.00011059253246753248
accountable,0.0
accounting,0.0003376509345827216
accounts,0.0
accredited,0.0
accuracy,0.00014545836546319438
accurate,0.0
accurately,0.0
achieve,0.00041187857108484355
achieved,0.0
achievement,0.0
achieving,0.00038397958243748177
acknowledges,0.0
acquire,0.0
acquired,0.0
acquisition,0.0019344762726022121
acquisitions,0.0
acquérir,0.0
act,8.83134560539279e-05
acting,0.0
action,0.0007660226532605471
actionable,0.0
actions,0.00013435679067682656
active,0.0
actively,0.00039157897291067304
activities,0.0009295669232343261
activity,0.0
acts,0.0
acumen,0.00034305857174330405
ad,0.0007534002678969974
adapt,0.0
adaptable,0.0
adaptation,0.0
add,0.00024984409058624905
added,0.0002421420478453555
addition,0.000286578831099379
additional,0.0014908202894713754
additionally,0.0
address,0.0
addressed,0.0
addresses,0.00012350108582758943
adept,0.0
adequacy,0.0
adequate,0.0
adhere,0.0
adherence,0.0005394610099906941
adhering,0.0
adhoc,0.00010685292405722507
adjustments,0.0
administer,0.0
administers,0.0
administration,0.0007537186192441213
administrative,0.0001431197478991596
admired,0.0
adobe,0.001241231141423516
adoption,0.0003023902546432828
adresse,0.0
ads,0.00012962403806399134
advance,0.00013817671763540257
advanced,0.01042346687395533
advancement,0.00019844641339968443
advantage,0.00015121786035606066
advertisers,0.0
advertising,0.0013039090729253505
advice,0.0003928782576475742
advise,0.00029035932616824217
advised,0.0
advising,0.0
advisor,0.0003530226741797445
advisors,0.0
advisory,0.0
advocate,0.0
affaires,0.0002812821544575483
affect,0.0004321771259403055
affiliates,0.0
affirmative,0.0
age,0.0015218608121618836
agencies,0.00030744998299266096
agency,0.000346289401836684
agendas,0.0
agent,0.0
agents,0.0
aggregation,0.0
agile,0.0
ago,0.017112498780783098
agreed,0.0
agreement,0.0
agreements,0.0
ahead,0.0
aid,0.0
aider,0.00013969583048530418
aiderons,0.0
aidez,0.0
aim,0.0001524142277180948
aimed,0.0
ainsi,0.0
algorithm,0.0
algorithmic,0.0
algorithms,0.015565002358990672
align,0.0006669432305919458
aligned,0.0001043327082356618
alignment,0.0
allocation,0.0
allow,0.0
allowing,0.00026497162615760983
allows,0.0
alongside,0.0
alternate,0.001850275108541195
alternative,0.00013080781923352323
alteryx,0.0
amazing,0.0
amazon,0.0
ambiguity,0.0
ambiguous,0.000131072631072631
ambition,0.0
ambitions,0.0
ambitious,0.0
america,7.162884430035924e-05
american,0.0
aml,0.0
amounts,0.0016021057749068058
analyse,0.0
analyses,0.00036020629138955096
analysing,0.0
analysis,0.0008338994601376359
analyst,0.02606745545618965
analysts,0.0010203572989289295
analytic,0.0001505354057214667
analytical,0.0020145697203012842
analytics,0.002940074442473277
analyze,0.0006517608590006886
analyzed,0.0
analyzes,0.0
analyzing,0.0002483481430849853
ancestry,0.0010046756534402724
animés,7.174675747724734e-05
annual,0.0
anomalies,0.0
answer,0.0
answers,0.00013479694396323705
anticipate,0.0
anticipates,0.0
aoda,0.0
apache,0.0
apart,0.00010803964757709254
api,0.0
apis,0.00013324640397701807
app,0.0
appetite,0.0
applicability,0.0
applicable,0.0
applicant,0.0006564728737738808
applicants,0.0001575747973181088
application,9.771402958314657e-05
applications,0.0001783409536404589
applied,0.005261867336078937
applies,0.0006078754603610717
apply,0.00034981565714573053
applying,0.0013803523209463793
appreciate,0.0
appreciation,0.0
apprenons,0.0
approach,0.000290112976298628
approachable,0.0
approaches,0.00504017327473133
approfondis,0.0
appropriate,0.0007787524137680353
appropriately,0.0
approval,0.0
approvals,0.0
approved,0.0
apps,0.0
aptitude,0.0
architect,0.0
architects,0.0002987802092375162
architecture,0.0
architectures,0.0
area,0.00013356615507153138
areas,0.0
arise,0.0
arrangements,0.0
art,0.00031115520372047346
articulate,0.00026814642739300275
artifacts,0.0
artificial,0.009725317911610062
asap,0.0
asia,0.0
ask,0.0004438482944295888
asking,0.0
asl,0.00014298832480650651
aspect,0.0
aspects,0.00024960852604715626
assess,0.0
assessing,0.0011415035519228094
assessment,0.0
assessments,0.0
asset,0.00047178171755427164
assets,0.00011592825676526119
assigned,0.00014691748710736068
assignment,0.0
assignments,0.0
assist,0.0007799901509307949
assistance,0.0
assisting,0.00014466203096213058
assistive,0.0001361352724442984
assists,0.0
associated,0.00014358058661670853
associates,0.0
association,0.0
assortment,0.0
assumptions,0.0
assurance,0.0
atf,0.0
attend,0.00014745830516114494
attending,0.00015984126604098848
attention,0.0005946436798050078
attitude,0.0
attract,0.0
attracting,0.0
attributes,0.0
attrition,0.00039740581696012003
audience,0.00020029491833030858
audiences,0.0
audit,0.0004973811958669229
auditing,0.0
audits,0.0
authentic,0.0
authenticity,0.0
auto,0.0
automate,0.0003651041766556665
automated,0.0
automating,0.0
automation,0.0003965028630565744
automotive,9.191658164260911e-05
autonomously,0.0
autonomy,0.0
availability,0.0
available,0.0005550480912960043
ave,0.0
aviva,0.0
avoir,0.0
award,0.0
awards,0.0
awareness,0.0
awesome,0.0
aws,0.0006636997077332826
azure,0.0001392783083618097
azureml,0.0014478147793806095
ba,0.0
bachelors,6.279838426724479e-05
backed,0.0001485091058650934
background,0.0
backgrounds,0.002181715355308739
backup,0.0
balance,0.0
balancing,0.0
bank,0.0005610699468766247
banking,0.00046261399057951556
banks,0.0
banner,0.0002441401151559899
barrier,0.0
barriers,0.0
base,0.0003606286186931347
based,0.000615671120224445
basel,0.0
basic,0.0
basis,0.0002748044181642033
bau,0.0
bayesian,0.0
beautiful,0.0
begin,0.0
beginning,0.0
behalf,6.898889461979445e-05
behavior,0.0001466575394202624
behaviors,0.000507172590797869
behaviour,0.0
behavioural,0.0
belief,0.0
beliefs,0.0
believe,0.0006944802662909342
believes,0.0
bell,0.00013847549909255902
belong,0.0
belonging,0.0
benchmarking,0.0
beneficial,0.0
benefit,0.0
benefits,0.0
besoin,0.0
besoins,0.0
best,0.0005012686254186563
better,0.0007543914816552129
bi,0.0003530160085838449
bias,0.0
big,0.004840254539934973
biggest,0.00015390387332984287
bigquery,0.0014772188110780064
bilingual,0.00012014991181657848
bilingualism,0.0001544008568750833
billion,0.0
billions,0.0
biology,0.0006297480891093967
bloor,0.0
blue,0.0
bmo,0.0
board,0.00037317511781530754
bold,0.0
boldly,0.0
bond,0.0
bonds,0.00010017461630364854
bonus,0.0
bonuses,0.00014978590884856514
books,0.0
boundaries,0.0
box,0.0
boxes,6.952906649229128e-05
brand,0.0
brands,0.0
breadth,0.0
breaking,0.00014235185285955276
breaks,0.0
briefing,0.0
brighter,0.0
brightest,0.0
bring,0.0008664259052326675
bringing,0.000493682226262264
brings,0.00014271531754481834
broad,0.0002633135955082688
broaden,0.0
broader,0.0
broker,0.0
bs,0.0
bsc,0.0
budget,0.0
budgeting,0.0
build,0.000655345965959083
builders,0.0
building,0.0055462133249417536
builds,0.0
built,0.0004130946485536337
bureaucracy,0.0
business,0.0026902947296667547
businesses,0.00015189319275120015
buy,0.0003193676829860858
ca,7.290666935806582e-05
calculations,0.0
calls,0.0
campaign,0.00020938720624959984
campaigns,0.0
canadian,0.0004764203417067527
canadians,0.0
candidate,0.0
candidates,0.0006270331571951583
candidats,0.0
capabilities,0.0
capability,9.321975916803503e-05
capable,0.0
capacity,0.0
capital,0.0
capture,0.0
captured,0.0
capturing,0.0
car,0.0
card,0.0
cards,0.0
care,0.0003089943550748767
caredisability,0.0
career,0.00040866591898520863
careers,0.00021167723846295269
careextended,0.0
carelife,0.0
cares,0.0
careschedule,0.0
carework,8.077737447065945e-05
caring,0.0
carrieres,7.706309590074153e-05
carrying,0.0
carve,0.0
case,0.0
cases,0.00014157349983069746
cash,0.0
casual,0.00014418088161196672
categories,0.0
category,0.0
cause,0.0
causes,0.0
celebrate,0.00018297558971529584
center,0.0
centers,0.0
central,0.0005695746297189254
centre,0.0003416832830976118
centric,0.00022144597045866806
certain,0.0
certificate,0.000311956141085418
certification,0.00041461166235711366
certifications,0.0
certified,0.00013352994555353905
cette,0.0
cfa,0.0
chain,0.0
challenge,0.00028428489777080306
challenged,0.0002162626750210537
challenges,0.000558901672690186
challenging,0.00010607061763398484
champion,0.0
champions,0.0
chance,0.0
change,0.0002701121614032445
changed,0.0
changements,0.0
changes,0.00022539288668320924
changing,0.0
channel,0.0
channels,0.0
characteristic,0.0
characteristics,0.00018126546576909775
charts,0.0
check,0.0
checks,0.0
chief,0.0
choice,0.0
choose,0.0
churn,0.0
ci,0.0
cibc,0.0
circumstances,0.0
citi,0.0
cities,0.0003338097182523479
citigroup,0.0
citizenship,0.0
city,0.0
claims,0.0007743602968953279
class,0.00011690261690261691
classification,0.00014041783419975975
clean,0.0
cleaning,0.0
cleanse,0.00028930175581870157
cleansing,0.0
clear,0.0
clearly,0.0
click,9.631450420924112e-05
client,0.0005206475867673248
clients,0.0008974259356821558
clinical,0.0
close,0.0
closely,0.001345736572000348
closing,0.0
cloud,0.0017681321613244195
cluster,0.0
clustering,0.0006257756557463932
coach,0.0
coaching,0.0
code,0.0003722398371707397
codes,0.0
coding,0.0
coe,0.0
coffee,0.0001415977227112149
cognos,0.0
collaborate,0.0
collaborates,0.0
collaborating,0.0008586152698038193
