Job Title,Company,Location,Job Description
"Machine Learning Software Engineer – Hiring Sprint (July 28, 2021)",Loblaw Digital,"Toronto, ON","At Loblaw Digital, we know that our customers expect the best from us. Whether that means building the best, most innovative online shopping experiences, or designing an app that will impact the lives of people across the country, we’re up for the challenge. Loblaw Digital is the team responsible for building and operating the online businesses of Canada’s largest and most successful retailer. Based in downtown Toronto, we are an entrepreneurial, fast-paced, and collaborative team working towards transforming the way Canadians shop by creating leading eCommerce experiences in the online grocery shopping, beauty, pharmacy, loyalty, and apparel spaces, and we’re only just getting started! To achieve these goals, we are looking for talented and passionate individuals who want to collaborate and solve challenging problems and make significant and lasting impact on Canadians. Are you ready for a challenge? Show us what you got on Thursday, July 15th at the Loblaw Digital Data Science Hiring Sprint! We are looking for talented and innovative Machine Learning Software Engineers. Come apply and meet with us. We want to get to know YOU! Application deadline: July 11th The impact you'll make As a Machine Learning Software Engineer, you will be responsible for building the best digital online shopping experience globally. Your mandate will be to ship products, features and experiences that offer millions of Canadians a delightfully simple, personalized, and convenient online grocery shopping experience and you’ll measure your success with KPI’s that include adoption, conversion & retention. You will use data every single day to uncover meaningful insights that inform your experimentation strategy and ultimately, your product roadmap   What you'll do Research innovative data solutions and solve real market problems Develop analytical approaches to meet business requirements Implement data pipelines to ingest, clean, aggregate, and integrate data from various data sources Partner with Data Scientists to prepare their models for production by building out target architectures that support model training, learning and serving Work with Google Cloud Platform and distributed computing tools such as Cloud DataFlow, DataProc, BigQuery, Composer, Kubernetes, Hadoop, Docker, and others Work with streaming data platforms such as Cloud Pub/Sub and Kafka Support business decisions with ad hoc analysis as needed, and communicate findings to senior management Does this sound like you? Degree in a computing-related discipline such as Computer Engineering/Science, or equivalent work experience Strong software development proficiency using Python, Java and SQL Strong understanding of big data and distributed computing concepts with hands-on experience using related technologies Knowledge/experience with machine learning tools and algorithms preferred Creative problem solver, resourceful in getting things done, and productive working independently or collaboratively Strong passion for analytics and data mining to drive business decisions Ability to communicate complex quantitative analysis in a clear, precise, and actionable manner How you’ll succeed At Loblaw Digital, we seek great people to continually strengthen our culture. We believe great people model our values, are authentic, build trust and make connections. We’re able to keep innovating because our colleagues are passionate about their work and excited about the future of eCommerce. You will get to work with some of the best digital minds and will have the support of world class technologies to craft products our customers will love! Loblaw Digital recognizes Canada's diversity as a source of national pride and strength. We have made it a priority to reflect our nation’s evolving diversity in the products we sell, the people we hire, and the culture we create in our organization. Accommodation is available upon request for applicants with disabilities in the recruitment and assessment process and when hired. In addition, we believe that compliance with laws is about doing the right thing. Upholding the law is part of our Code of Conduct – it reinforces what our customers and stakeholders expect of us.6 days ago Report job"
Data Scientist - Innovation & Attributes,Equifax,"Toronto, ON","Synopsis of the role  As a Data scientist, in this role, you will work closely with business stakeholders to understand their goals and determine how data can be used to achieve those goals. You will be tasked with designing data modeling processes, create algorithms and predictive models to extract the data the business needs, help analyze the data and share insights with peers. Who is Equifax? At Equifax, we believe knowledge drives progress. As a global data, analytics and technology company, we play an essential role in the global economy by helping employers, employees, financial institutions and government agencies make critical decisions with greater confidence. We work to help create seamless and positive experiences during life’s pivotal moments: applying for jobs or a mortgage, financing an education or buying a car. Our impact is real and to accomplish our goals we focus on nurturing our people for career advancement and their learning and development, supporting our next generation of leaders, maintaining an inclusive and diverse work environment, and regularly engaging and recognizing our employees. Regardless of location or role, the individual and collective work of our employees makes a difference and we are looking for talented team players to join us as we help people live their financial best. The Perks of being an Equifax Employee? We offer excellent compensation packages with market competitive pay, comprehensive healthcare packages, schedule flexibility, work from home opportunities, paid time off, and organizational growth potential. Grow at your own pace through online courses at Learning @ Equifax. What You’ll Do As a Data Scientist at Equifax, you will work directly with both internal stakeholders and external clients to deliver innovative decision science models & attributes that leverage Equifax’s vast data assets. These include decision areas covering the credit lifecycle, geodemographic & marketing attributes, ratings & fraud models, as well as any new areas where data driven decision making can be informed by predictive modelling including advanced modeling techniques and machine learning when applicable. Build and create advanced machine learning algorithms such as regression, simulation, scenario analysis, modeling, clustering, decision trees and neural network Develop new tools, advanced analytical techniques and products as part of the innovation team Project management including defining business and technical requirements, resource planning and analytic solution design Working alongside key clients as part of co-innovation projects and effectively communicate analytical results to key stakeholders using strong data visualizations, superior presentation skills and business language to emphasize the so what of the analysis Creation of recommendations, market insights and dashboards following completed analysis and Quality control of all analytical output Qualifications Bachelor’s or advanced degree in a quantitative discipline such as Engineering, Economics, Mathematics, Statistics, or Physics 3+ years’ Data Science experience with expert knowledge of R, Python, SAS or SQL in a large data environment 3+ years’ experience creating and using advanced machine learning algorithms and statistics: regression, simulation, scenario analysis, modeling, clustering, decision trees, neural networks Proven hands-on experience designing and building analytical solutions to solve real world problems, with limited direct supervision required Creativity & idea generation and the ability to extract business insights from analysis & transform this into an easy to understand story Extra Points for any of the Following Master’s level degree in a business-related field/MBA Experience working in a cloud environment such as GCP an asset Experience in working with Credit Data Background in financial services, telecommunications or utilities favorable Success Attributes of an Equifax employee; does this describe you? Accountability Curiosity Collaboration Think and act differently Trust Ownership Decide-Execute-Ship We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. If this sounds like somewhere you want to work, don’t delay, apply today - we’re looking for you! Primary Location: CAN-Toronto-5700 Yonge Function: Function - Data and Analytics Schedule: Full time8 days ago Report job"
"Data Scientist, Shopping",Pinterest,"Toronto, ON","About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet. We’re looking for a Data Scientist to join the Shopping team with the goal of building a successful Shopping product at Pinterest. You’ll apply quantitative analysis, data mining and data visualization techniques to shape the strategy of the Shopping experience at Pinterest. What you’ll do: Design advanced experiments for Shopping product and Shopping monetization Perform deep dive analysis to understand and optimize the key levers of our Shopping product team Partner closely with Eng team to improve shopping optimization and recommendation systems Design core metrics that serve as the North Stars for team efforts and model trade-off decisions across product areas Work with product managers and engineers to design data products, prove their value by running experiments and release into production What we’re looking for: Ability to manipulate large data sets with high dimensionality and complexity; fluency in SQL and Python or R 4+ years experience doing quantitative analysis or statistical modeling; strong experimentation expertise Knowledgeable about best practices around data manipulation, building data pipelines, feature engineering and creating dashboards Ability to lead initiatives across multiple product areas and communicate findings with leadership and product teams to quickly turn insights into actions Excellent communication skills and ability to explain learnings to both technical and non-technical partners. Experience in Shopping/ecommerce products will be preferred #LI-KP1  Not Specified  07 days ago Report job"
"Staff Machine Learning Engineer, Shopping Discovery",Pinterest,"Toronto, ON","About Pinterest: Millions of people across the world come to Pinterest to find new ideas every day. It's where they get inspiration, dream about new possibilities and plan for what matters most. Our mission is to help those people find their inspiration and create a life they love. In your role, you'll be challenged to take on work that upholds this mission and pushes Pinterest forward. You'll grow as a person and leader in your field, all the while helping Pinners make their lives better in the positive corner of the internet. Shopping is at the core of Pinterest’s mission to help people create a life they love. The shopping discovery team at Pinterest is inventing a brand new, more visual and personalized shopping experience for 350M+ users worldwide. The team is responsible for delivering mid-funnel shopping experience on shopping surfaces like Product Detail Page, Shopping Search, Shopping on Board etc. As an engineer of the team you will be working on the most cutting edge recommendation algorithms to develop diverse types of shopping recommendations that will be displayed across different shopping surfaces on Pinterest. You’ll also be responsible for optimizing the whole page layout by appropriately selecting and slotting the UI templates and recommendation modules optimizing towards a shopping metric. As an engineer of the team you’ll be running experiments and directly improving the shopping metrics contributing to the bottom line of the company. If you are excited about large scale machine learning problems in the area of recommendation, search and whole page optimization then you must consider this role What you'll do: Develop large scale shopping recommendation algorithms Build data pipelines to do data analysis and collect training data Train deep learning models to improve quality and engagement of shopping recommenders Work on backend and infrastructure to build, deploy and serve machine learning models Develop algorithms to optimize the whole page layout of the shopping surfaces Drive the roadmap for next generation of shopping recommenders What we're looking for: 6+ years working experience in the area of applied Machine Learning Interest or experience working on a large-scale search, recommendation and ranking problems Interest and experience in doing full stack ML, including backend and ML infrastructure Experience is any of the following areas Developing large scale recommender systems Contextual bandit algorithms Reinforcement learning #LI-JY1  Not Specified  07 days ago Report job"
Data Scientist,NielsenIQ,"Toronto, ON","Job Description Our Precima team helps retailers turn shopper insights into strategic advantage. We leverage our deep expertise in data science and technology to mine shopper data, uncovering what drives consumer decision making. By using advanced modeling, artificial intelligence and cloud-based SaaS solutions, we are able to put these insights at the fingertips of our clients. As a Data Scientist, you’ll be part of a team of smart, highly skilled engineers and data scientists who are proud to partner with some of the world’s leading retailers on challenging, cutting-edge, data-driven solutions - all powered by our exceptional technology and people. Our core technologies currently include Java, Angular, Spring Boot, Apache NiFi, Mongo, Postgres and Snowflake, and we continue to adopt the best of breed in cloud-native, low-latency technologies. Our team is co-located and agile, with a central hub in Toronto. What you’ll do Be responsible for Analytics production support and deployment. This includes executing, developing, deploying and measuring Nielsen Precima’s analytical products that are configured for clients. Produce accurate statistical analysis and ensure high quality of the data analysis produced. Implement, score, and maintain advanced statistical and mathematical models and customer segmentation. Interpret, document and present analytical results to multiple business disciplines, providing conclusions and recommendations based off customer-centric data. Take analytical objectives and define data requirements. Extract, clean, and transform customer and item-level data for purposes of analysis, modeling/segmentation and reporting. Participate in special projects and ad-hoc as required We’re looking for people who have Bachelor/Master Degree in Math/Statistics, Computer Science, Economics, Industrial Engineering. Minimum of 1 - 2 years of directly related work in quantitative analysis with proven results in leveraging customer/transaction to address business objectives through a structured analysis - leading to insights and recommendations. Experience in retail and/or CPG is strongly preferred. Strong in statistical techniques and the willingness to learn and champion methodologies for customer analysis. High proficiency in SQL and Python/R/or similar statistical packages Ability to translate business objectives into analytical plan/framework, conducting the analysis and interpreting data to derive insights and interpret results to develop and communicate recommendations to internal teams - and then to clients. Ability to translate statistical and analytical results into clear written and verbal communication to internal/external stakeholders. Excellent ability to be part of multiple projects/initiatives while simultaneously meeting deadlines in a diverse environment Strong team player and ability to work in a collaborative environment  Additional Information About NielsenIQ NielsenIQ is a global measurement and data analytics company that provides the most complete and trusted view available of consumers and markets worldwide. We provide consumer packaged goods manufacturers/fast-moving consumer goods and retailers with accurate, actionable information and insights and a complete picture of the complex and changing marketplace that companies need to innovate and grow. Our approach marries proprietary NielsenIQ data with other data sources to help clients around the world understand what’s happening now, what’s happening next, and how to best act on this knowledge. We like to be in the middle of the action. That’s why you can find us at work in over 90 countries, covering more than 90% of the world’s population. For more information, visit www.niq.com. NielsenIQ is committed to hiring and retaining a diverse workforce. We are proud to be an Equal Opportunity/Affirmative Action-Employer, making decisions without regard to race, color, religion, gender, gender identity or expression, sexual orientation, national origin, genetics, disability status, age, marital status, protected veteran status or any other protected class.2 days ago Report job"
Data Analyst,Zynga,"Toronto, ON","Zynga is a leading developer of the world’s most popular social games that are played by people around the world every single day. To date, more than 1 billion people have played our games across Web and mobile, including Words With Friends, FarmVille, Zynga Poker, Merge Dragons, Empires & Puzzles, Hit it Rich! Slots and CSR. Zynga’s Data Science and Analytics team uses our outstanding and expansive data to deliver fundamental insights on who our audience is, how they engage with our games, and what are the best ways to personalize their in-game experience. We strive for a better understanding of our players which translates into challenges and features that delight them. Here’s where you would come in: A successful candidate will be passionate about using analytics and data science to impact revenue through customer-centric, data-driven initiatives. He/she/they will partner with other analytics/data science teams and studio leaders around the globe to identify and act on opportunities to increase engagement, retention, revenue, optimization, and improve the player experience for our customers. Lastly, he/she/they will have good technical analytical skills across a wide spectrum, including strong proficiency in scripting languages such as SQL, R, and Python, telemetry definition and data modeling, data aggregation and manipulation, customer analytics, business intelligence, data visualization, and data science techniques.  Main Responsibilities Own objective evaluation of game health and all content/feature releases, through daily KPI reports, bi-weekly business health meetings, and feature/event readouts and analysis. Engage with the game product management team to provide insights and guidance derived from quantitative study; influence and analytically validate product assumptions and roadmap. Build KPI dashboards/reports that signal deviations from expected outcomes, empowering feature owners to run performance for the business. Partner with game teams on experimentation efforts, including experimental design and analysis. Handle the game team’s data assets by defining telemetry events, architecting data models, and defining data quality governance. Leverage our modern tech stack, AWS (Redshift & Kinesis), Databricks and PySpark, Airflow, and Tableau to identify opportunities to improve the experience that Zynga provides to its players Desired Skills and Experience B.S. or B.A. in Math, Statistics, Comp Sci, Engineering, or other quantitative field required; graduate degree preferred 3+ years of meaningful work experience in data science or analytics role in a product support capacity Strong experience in SQL; Proficient in Python; Adept in at least one visualization tool such as Tableau. Experience with all the following: probability & statistics, experimental design, machine learning, data mining, predictive modeling Experience in analyzing large datasets, preferably in a Hadoop or Spark environment, and deploying production-ready systems at scale Strong written and oral communication skills Ability to work effectively in a fast-paced environment with changing priorities Strong passion for gaming What we offer you Zynga Stock RSUs and Bonus Plan Full medical, dental, vision benefits as well as life insurance Generous Paid Maternity/Paternity leave Open vacation policy for all full-time employees Flexible working hours on many teams Work alongside driven individuals towards a common goal We will ensure that individuals with disabilities are provided reasonable accommodation to participate in the job application or interview process, to perform essential job functions, and to receive other benefits and privileges of employment. Please contact us to request accommodation.  Zynga is an equal opportunity employer. We are proud of our broad community; we do not discriminate on the basis of race, sex, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, medical condition, disability, or any other class or characteristic protected by applicable law. We welcome job-seekers, players, employees, and partners from all backgrounds. Join us! We will consider all qualified job-seekers with criminal histories in a manner consistent with applicable law.1 day ago Report job"
"Data Scientist, R&D",Aviva,"Markham, ON","Individually we are people, but together we are Aviva. Individually these are just words, but together they are our Values – Care, Commitment, Community, and Confidence. This role will start off as work from home, gradually you will be required to work in the Toronto or Montreal office location. Join an exciting team of actuaries, data scientists and engineers at the forefront of using data science and AI to drive impactful decisions. The insurance industry has entered a period of unprecedented change. The last few years has seen a huge increase in the number of connected consumer devices such as home assistants, smart home sensors and cars with self-driving technology. Aviva recognizes that data created by these devices allows new ways to understand clients deeply and offer them personalized digital services and experiences in real-time. This exciting role is at the heart of a high-performing Data Science team that is impacting all aspects of insurance, from distribution to underwriting and pricing to claims. As a Data Scientist – R&D, you will be part of a dynamic small team with exposure to different business partners and direct influence on future products. You will work collaboratively with stakeholders to formulate problems and conduct research to propose viable solutions. You will leverage new data sources and experiment with new approaches providing enhancements through iterations. What you’ll do Influence the R&D roadmap by identifying emerging business challenges and R&D initiatives that have a high potential for applicability. Push the boundaries on new methods and ways of addressing fundamental challenges in the area of AI/ML within the context of Insurance industry Assist in creating compelling prototypes by working closely with teams of actuaries, data scientists and engineers building end-to-end analytics solutions that drive impact. Dive into huge, noisy, and complex real-world data to discover insights and new predictive models for various business challenges. Leverage the state-of-the-art in the field, including sound publications in well-known journals and conferences, and stay ahead of the curve on the newest AI methods. Fast prototyping, feasibility studies, specification and implementation of data product components. What you'll bring As a data-scientist, you will need the following skills and experience to succeed in the role: University Degree in Computer Science, Math, Statistics, Physics, Actuarial Science or related field or equivalent. A Ph.D. degree is strongly preferred. Extensive R&D experience in machine learning, statistics, and applying data science methods. Proven research track record as scientific publication in well-known machine-learning journals and conferences will be considered an asset. Advanced level understanding of machine learning fundamentals and model development principles. Excellent presentation and communication skills, with a knack for articulating complex scientific and analytical concepts to people from various backgrounds. 3-5 years of programming experience preferably in Python with strong grasp of software engineering standard methodologies such as code-reusability, modularity, use of repos, etc. 3-5 years of experience of building machine learning models for business applications. 2-3 years experience with ML/AI technologies, such as scikit-learn, Keras, TensorFlow, PyTorch. Experience mining IoT sensor data will be considered an asset. Experience with Big Data Technologies such as Spark, Databricks, Scala will be considered an asset. What sets you apart A growth mindset with versatile skills and able to work through problems from first-principles. A portfolio of projects that demonstrate your ability to draw inferences from data. Experience at all stages of data science; problem definition, data acquisition & wrangling, modelling, feature engineering and deployment. Experience working as part of an Agile Team. The best problems in the industry are yet to be articulated. We need someone who is creative and self-motivated. What you’ll get Competitive rewards package including base compensation, eligibility for annual bonus, retirement savings, share plan, health benefits, personal wellness, and volunteer opportunities. Exceptional Career Development opportunities. We’ll support your professional development education. Additional Information Aviva Canada is committed to providing accommodations for people with disabilities during all phases of the hiring process including the application process. If you require an accommodation because of a disability, we will work with you to meet your needs. Applicants need to make their needs known in advance. If you are selected for an interview and require an accommodation, you are encouraged to advise the Talent Acquisition Partner who will consult with you to determine an appropriate accommodation. We are an equal opportunity employer and value diversity at our company. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status.30+ days ago Report job"
Machine Learning Engineer,Patagona Technologies,"Toronto, ON","Patagona Technologies is a software development company working with the Canadian Department of National Defence on studying and combating online disinformation.We are looking for a Machine Learning Engineer to develop various machine learning models on social media network data.You will work alongside a Software Engineer to support you in deploying your models as well as collaborate with a Data Scientist and a Computational Social Scientist who will be using models you develop.ResponsibilitiesCreate machine learning systems using analytics, performance and monitoring, running tests and experiments as required.Interpret, understand and present test results using statistical analysis.Deploy machine learning solutions into production, optimizing those solutions for performance and scalability.Document all machine learning processes and findings in an organized manner.QualificationsExcellent knowledge of PythonStrong knowledege of ML frameworks (in particular PyTorch and CUDA).Knowledge of NLP (BERT, RoBERTa, etc) and graph machine learning models (GCNs, DeepWalk, Struct2Vec, GraphWave, etc).Extensive knowledge of libraries, data structures, data modeling and software architecture.Experience working with relational data using SQL.Experience working with cloud services for running experiments and ETL pipelines.Must be a Canadian citizen or permanent resident.Special Consideration will be given to candidates with: Experience deploying and managing machine learning models in production.Written language skills in French, Russian and Chinese.Prior experience studying online disinformation or other social media analysis work.Job Type: Full-timePay: $85,000.00-$93,000.00 per yearBenefits:Casual dressFlexible schedulePaid time offWork from homeSchedule:Monday to FridayWork remotely:Yes7 days ago Report job"
Data Scientist,Scotiabank,"Toronto, ON","Requisition ID: 105986  Join a purpose driven winning team, committed to results, in an inclusive and high-performing culture. Purpose The Manager, Data Science has a strong customer focus and will be responsible for solving complex business problems through the use of analytical, statistical, predictive and data visualization techniques. The incumbent will work closely with the Senior Data Scientist and other internal stakeholders to turn customer-level data into critical insights and knowledge that can be used to make optimal business decisions across different areas of the Bank. The incumbent wil require a combination of strong data science skills, business focus, problem solving skills and programming knowledge to quickly draw insights from multiple data sources to support Bank strategies. Excellent written and communiation skills are required and the Manager, Data Science will work closely with the Senior Data Scientist to conduct analytics and present insights/findings in impactful and easy to understand terms for the business or senior management. Accountabilities 1. Provide support to various partners and stakeholders across the Bank (e.g., Strategy, Channels, Customer Experience, Marketing, Canadian Banking, International Banking) by leading in the discovery processes to identify business requirements and expected outcome. 2. Conduct data analysis using traditional as well as Big Data tools, including leveraging distributed computing tools (e.g., Spark, Hadoop) for analysis, machine learning, data mining, and modeling to provide actionable insights to decision-makers in the Bank. 3. Develop innovative and effective approaches and apply statistical and predictive modeling techniques to solve analytics problems and communicate results and methodologies to business clients and senior members of the analytics team. 4. Present insights and depict the rationale of findings in easy to understand terms for the business or senior management, including the use of data visualization techniques and dashboards. 5. Stay current on trends in the data science and fin-tech product space; translate those trends into actionable strategic and tactical objectives for the company. 6. Contribute to a culture of curiosity and innovation inside and outside of the company through presentation, demonstration and leading by example. The incumbent supports a wide range of analytical activities, and must conduct unbiased, customer-focused analytics, while at the same time ensuring that results do not impede customer acquisition/retention, business line growth and profitability activities. Education And Other Requirements University education, with a specialization in Marketing, Statistics, Computer Science or Engineering preferred Solid analytical and data wrangling skills. Must be comfortable working with large amounts of information and translating data into clear and concise findings. Strong communication and interpersonal skills. Boardroom level oral/written communication & presentation skills in a client-facing setting. Strong programming skills in Python and/or R. Proficiency in using query languages such as SQL, HiveQL, etc. Strong knowledge of distributed computing tools (Hive, Spark, Sqoop, etc.) Strong knowledge of Natural Language Processing Proficient with concepts and application of machine learning algorithms in Python, R, Spark (at least one). Knowledge of visualization tools such as Power BI and/or Tableau. Knowledge of Bank Information Systems, such as retail product and reporting systems, including finance systems, Sales Builder, and the Enterprise Data Warehouse or Data Lakes, an asset. Knowledge of the Bank's products and services, an asset. Location(s): Canada : Ontario : Toronto  Scotiabank is a leading bank in the Americas. Guided by our purpose: ""for every future"", we help our customers, their families and their communities achieve success through a broad range of advice, products and services, including personal and commercial banking, wealth management and private banking, corporate and investment banking, and capital markets.  At Scotiabank, we value the unique skills and experiences each individual brings to the Bank, and are committed to creating and maintaining an inclusive and accessible environment for everyone. If you require accommodation (including, but not limited to, an accessible interview site, alternate format documents, ASL Interpreter, or Assistive Technology) during the recruitment and selection process, please let our Recruitment team know. If you require technical assistance, please click here. Candidates must apply directly online to be considered for this role. We thank all applicants for their interest in a career at Scotiabank; however, only those candidates who are selected for an interview will be contacted.5 days ago Report job"
"Data Scientist, Omnia AI",Deloitte,"Toronto, ON","Job Type: Permanent Primary Location: Toronto, Ontario, Canada All Available Locations: Toronto; Ottawa; Vancouver Learn from deep subject matter experts through mentoring and on the job coaching Be encouraged to deepen your technical skills…whatever those may be. Be empowered to lead and have impact with clients, our communities and in the office. Are you passionate about solving complex analytical problems, learning about the latest in cutting-edge AI and continuing to develop your analytical and business development skills? If you answered yes, then we have an opportunity waiting for you! What will your typical day look like? As a Data Scientist, you would take a hands-on role in delivering advisory services to high growth organizations with a diverse team consisting of data scientists, data architects, software developers, information designers, and business/industry leaders. You will responsible for performing statistical modelling, computations, and data ETL to deliver best-of-breed analytical solutions for clients’ business problems. You will work with large amounts of data on a granular level, from structured and unstructured data sources and participate in various structured and ad-hoc analysis projects. You will also perform data analysis and communicate insights on client projects, and provide support in planning, data collection, and assist in pitches and proposal bids. About the team Deloitte Omnia, Deloitte's Artificial Intelligence practice is comprised of specialized experts with hands-on experience, and cutting-edge information assets that facilitate successful Artificial Intelligence (AI) transformations. We develop AI-enabled solutions to address all aspects of a client’s transformative journey with disciplined focus on business outcomes. Enough about us, let’s talk about you You are someone with: Data analysis experience using (one or more): Python, Could ML (AWS, GCP, Azure), or similar tools1+ years (Consultant) or 3+ years (Senior Consultant) relevant work experience with applying analytics or working with data in any industryStrong experience with statistical analytical techniques, data mining, and predictive models is requiredDatabase and programming languages experience and data manipulation and integration skills using (one or more) SQL, Oracle, Hadoop, NoSQL Databases, or similar tools is requiredExperience with social media analytics and/or natural language processing and/or optimization is an asset Knowledge using either AWS, Azure or GCPStrong experience with Machine Learning Project management experience is an assetAbility to work with data with significant ambiguity, develop creative approaches to analytical problems, and interpret data and results from a business/industry perspectiveEnthusiastic about solving complex problems with a variety of analytical toolsProfessional services, consulting, or advisory experience is an assetStrong oral and written communication skillsInterest in continuing to develop analytical and business development skillsBA/BSc degree in Computer Science, Applied Mathematics, Statistics, or related field is required.Advanced degree (MA/MSc, equivalent or higher) is preferred. Join Deloitte and bring back that loving feeling, and love the company you keep. This position may require frequent travel to serve clients across North America. Candidates must be able to enter the USA to work on client assignment. Why Deloitte? Launch your career with The One Firm where you can make an impact that matters in a way that you never thought possible. With endless opportunities at every turn, and a culture built to support and develop our people to be the very best they can be, Deloitte is The One Firm for you to learn, grow, create, connect, and lead. We do this by making three commitments to you: You will lead at every level: We grow the world’s best leaders so you can achieve the impact you seek, faster. You can work your way: We give you the means to be flexible in how you need and want to work, and we have innovative spaces, arrangements and the mindset to help you be wildly successful. You will feel included and inspired: We create a deep sense of belonging where you can bring your whole self to work. The next step is yours Sound like The One Firm. For You? At Deloitte we are all about doing business inclusively – that starts with having diverse colleagues of all abilities! Deloitte encourages applications from all qualified candidates that represents the full diversity of communities across Canada. This includes candidates from Indigenous communities in support of living our values and our commitments to our Reconciliation Action Plan . We encourage you to connect with us at accessiblecareers@deloitte.ca if you require an accommodation in the recruitment process, or need this job posting in an alternative format. We’d love to hear from you! By applying to this job you will be assessed against the Deloitte Global Talent Standards. We’ve designed these standards to provide our clients with a consistent and exceptional Deloitte experience globally. Deloitte Canada has 52 offices with representation across most of the country. We acknowledge our offices reside on traditional, treaty and unceded territories as part of Turtle Island and is still home to many First Nations, Métis, and Inuit peoples. We are all Treaty people.30+ days ago Report job"
